0, 60 2 2 2 1 1 1 1 2 2 2 2;
1, ais1 h1 h1 c2 c2 b1 b1 b1 ces2 b1 ces2;
2, eis1 fis1 e1 e1 e1 f1 f1 g1 ges1 ges1 ges1;
3, cis1 dis1 h a c1 d1 f1 es1 es1 des1 es1;
4, ais dis gis a a d d es es ges ces;
11, 0 0 0 0 0 0 0 0 0 0 0;
12, 0 0 0 0 0 0 0 0 0 0 0;
13, 0 0 0 0 0 0 0 0 0 0 0;
14, 0 0 0 0 0 0 0 0 0 0 0;
21, 0 -10 -10 -20 -20 -24 -24 -24 -34 -24 -34;
22, 2 -8 -12 -12 -12 -22 -22 -18 -32 -32 -32;
23, -6 -2 -10 -14 -20 -16 -22 -26 -26 -30 -26;
24, 0 -2 -4 -14 -14 -16 -16 -26 -26 -32 -34;
31, 0 12 12 24 24 20 20 20 32 20 32;
32, 2 14 10 10 10 22 22 26 34 34 34;
33, 16 -2 12 8 24 28 22 18 18 36 18;
34, 0 -2 -4 8 8 28 28 18 18 34 32;
